2010-01-17T20:13:11+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.config.theory_of_operation.html
2010-01-17T20:13:12+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.akismet.html
2010-01-17T20:13:12+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.soap.client.html
2010-01-17T20:13:12+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.session.advanced_usage.html
2010-01-17T20:13:13+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.dojo.form.html
2010-01-17T20:13:14+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.filter.migration.html
2010-01-17T20:13:14+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.view.abstract.html
2010-01-17T20:13:15+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.controller.request.html
2010-01-17T20:13:17+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.gdata.gbase.html
2010-01-17T20:13:17+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.log.formatters.html
2010-01-17T20:13:18+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.locale.parsing.html
2010-01-17T20:13:18+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.search.lucene.searching.html
2010-01-17T20:13:19+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.db.table.row.html
2010-01-17T20:13:19+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.tool.framework.clitool.html
2010-01-17T20:13:19+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.log.html
2010-01-17T20:13:20+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.feed.reader.html
2010-01-17T20:13:22+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.json.server.html
2010-01-17T20:13:22+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.paginator.usage.html
2010-01-17T20:14:09+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.reflection.examples.html
2010-01-17T20:14:09+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.db.statement.html
2010-01-17T20:14:09+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.form.i18n.html
